soil_ID,compaction_effort,cylinder_num,cylinder_vol_cm3,empty_cylinder_mass_g,filled_cylinder_mass_g,tin_tare,tin_w_wet_soil,tin_w_OD_soil,water_content
pro_inf_mix1,standard,1,937.4,1484.5,3325,1.282,31.61,29.712,0.066760464
pro_inf_mix1,standard,2,937.4,1484.5,3439.926,1.54,21.557,20.04,0.082
pro_inf_mix1,standard,3,937.4,1484.5,3541,1,39.793,36.261,0.100167324
pro_inf_mix1,standard,4,937.4,1484.5,3583.5,0.282,41.866,37.619,0.113747757
pro_inf_mix1,standard,5,937.4,1484.5,3534.5,1.288,49.359,43.626,0.13541027
pro_inf_mix1,modified,1,937.4,1484.5,3562,14.27,67.415,64.56,0.05677073
pro_inf_mix1,modified,2,937.4,1484.5,3682,14.262,58.224,55.125,0.075838778
pro_inf_mix1,modified,3,937.4,1484.5,3685.5,14.144,55.955,52.434,0.091956124
pro_inf_mix1,modified,4,937.4,1484.5,3646,14.223,52.098,48.44,0.106905924
pro_inf_mix1,modified,5,937.4,1484.5,3593.5,14.066,53.003,48.767,0.12207141
