date,experiment_name,sample_name,replication,batch_sample_number,bouyoucos_cylinder_number,beaker_tare_set,microns,beaker_number,beaker_mass_w_OD_sample,comments
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,1,2021-01-15,20,25,49.570,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,1,2021-01-15,5,26,48.162,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,1,2021-01-15,2,27,51.409,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,1,1,1,2021-01-15,0.2,28,50.657,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,2,2021-01-15,20,29,49.687,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,2,2021-01-15,5,30,50.583,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,2,2021-01-15,2,31,49.638,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,2,2,2,2021-01-15,0.2,32,51.936,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,3,2021-01-15,20,33,50.772,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,3,2021-01-15,5,34,49.933,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,3,2021-01-15,2,35,48.334,-
2021-03-06,SelectingClaysJan2021,leecom-promound-jan-2018,3,3,3,2021-01-15,0.2,36,49.831,-
