tin_number,tin_tare
1,7.162
2,7.231
3,7.192
4,7.115
5,7.266
6,7.25
7,7.281
8,7.066
9,7.184
10,7.221
11,7.181
12,7.091
13,7.148
14,7.248
15,7.264
16,7.223
17,7.198
18,7.162
19,7.213
20,7.234
21,7.249
22,7.182
23,7.25
24,7.165
25,7.127
26,7.285
27,7.232
28,7.097
29,7.097
30,7.056
31,7.214
32,7.204
33,7.166
34,7.157
35,7.246
36,7.179
37,7.182
38,7.151
39,7.211
40,7.299
41,7.242
42,7.053
43,7.25
44,7.199
45,7.117
46,7.311
47,14.118
48,13.8
49,13.943
50,14.195
51,14.115
52,13.945
53,14.259
54,14.06
55,14.034
56,14.029
57,14.225
58,14.044
59,14.215
60,14.167
61,13.913
62,13.936
63,13.963
64,14.05
65,14.009
66,14.187
67,14.076
68,14.22
69,13.926
70,14.177
71,14.023
72,14.261
73,13.889
74,14.113
75,14.064
76,14.196
77,14.155
78,13.815
79,14.075
80,14.144
81,14.265
82,14.244
83,13.941
84,14.165
85,14.269
86,13.931
87,13.972
88,13.814
89,14.222
90,13.905
91,14.069
92,13.856
93,1.291
94,1.284
95,1.293
96,1.29
97,1.292
98,1.296
99,1.291
100,1.289
101,1.287
102,1.289
103,1.29
104,1.289
105,1.295
106,1.287
107,1.283
108,1.293
109,1.282
110,1.287
111,1.287
112,1.285
113,1.295
114,1.287
115,1.281
116,17.417
117,19.549
118,14.247
119,18.213
120,16.791
121,12.616
122,12.765
123,12.42
