test_date,expt_mix_num,test_type,tin_number,blow_count,tin_w_wet_sample,tin_w_OD_sample,comments
9/6/2020,1,LL,1,26,13.462,12.078,
9/6/2020,1,LL,2,21,14.385,12.801,
9/6/2020,1,LL,3,20,13.401,12.029,
9/6/2020,1,LL,4,19,13.082,11.749,
9/6/2020,2,LL,5,33,12.816,11.689,
9/6/2020,2,LL,6,29,11.237,10.416,
9/6/2020,2,LL,7,26,13.177,11.932,
9/6/2020,2,LL,8,15,12.46,11.294,
9/6/2020,3,LL,9,27,15.004,13.66,
9/6/2020,3,LL,10,23,13.514,12.408,
9/6/2020,3,LL,11,21,13.248,12.178,
9/6/2020,3,LL,12,19,12.691,11.692,
